energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
11.500000,-3312,"Xi_bar",0.169000,0.014560,0.161563
11.500000,-3122,"Lambda_bar",0.659000,0.047854,0.682425
11.500000,-2212,"pbar",1.033159,0.189264,0.835988
11.500000,-321,"K-",12.344300,1.234893,13.198140
11.500000,-211,"pi-",129.699700,13.021798,110.517929
11.500000,211,"pi+",123.781200,12.514543,110.637447
11.500000,321,"K+",24.992980,2.520101,26.117135
11.500000,333,"phi",1.720000,0.263059,2.137703
11.500000,2212,"p",34.945190,5.316734,40.936953
11.500000,3122,"Lambda",14.170000,0.784092,13.714796
11.500000,3312,"Xi",1.350000,0.111803,1.364904
