energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
39.000000,-3312,"Xi_bar",0.780000,0.110454,0.707833
39.000000,-3122,"Lambda_bar",3.820000,0.360139,3.873722
39.000000,-2212,"pbar",6.050265,1.048969,6.280365
39.000000,-321,"K-",25.012440,2.272369,26.694412
39.000000,-211,"pi-",185.765205,20.519199,157.732156
39.000000,211,"pi+",182.279865,20.143331,157.790835
39.000000,321,"K+",31.966035,2.904500,32.899578
39.000000,333,"phi",3.380000,0.480937,3.922774
39.000000,2212,"p",19.457055,2.972881,22.722378
39.000000,3122,"Lambda",11.020000,0.860523,10.593720
39.000000,3312,"Xi",1.540000,0.190263,1.476480
