energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
27.000000,-3312,"Xi_bar",0.598000,0.038471,0.559908
27.000000,-3122,"Lambda_bar",2.750000,0.140357,2.845003
27.000000,-2212,"pbar",4.250500,0.726690,4.263065
27.000000,-321,"K-",22.623470,2.059872,23.297389
27.000000,-211,"pi-",177.056975,19.551123,148.913571
27.000000,211,"pi+",172.971705,19.104838,148.995545
27.000000,321,"K+",31.068650,2.815112,32.591802
27.000000,333,"phi",3.010000,0.451774,3.588194
27.000000,2212,"p",24.280955,3.824664,27.367331
27.000000,3122,"Lambda",11.670000,0.511566,11.742556
27.000000,3312,"Xi",1.570000,0.110454,1.506783
