series,p_GeV_c,sigma_dcaxy_cm,sigma_error_cm
PXL+INTT fit,1.81846,0.00190352,
PXL+INTT fit,1.83046,0.00189048,
PXL+INTT fit,1.84246,0.00187744,
PXL+INTT fit,1.85446,0.00187744,
PXL+INTT fit,1.86646,0.00187744,
PXL+INTT fit,1.87846,0.00185137,
PXL+INTT fit,1.89046,0.00185137,
PXL+INTT fit,1.90246,0.00185137,
PXL+INTT fit,1.91446,0.00185137,
PXL+INTT fit,1.92646,0.00183181,
PXL+INTT fit,1.93846,0.00182529,
PXL+INTT fit,1.95046,0.00182529,
PXL+INTT fit,1.96246,0.00182529,
PXL+INTT fit,1.97446,0.00179922,
PXL+INTT fit,1.98646,0.00179922,
PXL+INTT fit,1.99846,0.00179922,
PXL+INTT fit,2.01046,0.00179922,
PXL+INTT fit,2.03446,0.00177966,
PXL+INTT fit,2.04646,0.00177314,
PXL+INTT fit,2.05846,0.00177314,
PXL+INTT fit,2.07046,0.00177314,
PXL+INTT fit,2.08246,0.00176010,
PXL+INTT fit,2.09446,0.00175359,
PXL+INTT fit,2.10646,0.00174707,
PXL+INTT fit,2.11846,0.00174707,
PXL+INTT fit,2.13046,0.00174707,
PXL+INTT fit,2.14246,0.00173403,
PXL+INTT fit,2.15446,0.00172099,
PXL+INTT fit,2.16646,0.00172099,
PXL+INTT fit,2.17846,0.00172099,
PXL+INTT fit,2.19046,0.00172099,
PXL+INTT fit,2.20246,0.00172099,
PXL+INTT fit,2.21446,0.00170795,
PXL+INTT fit,2.22646,0.00169492,
PXL+INTT fit,2.23846,0.00169492,
PXL+INTT fit,2.25046,0.00169492,
PXL+INTT fit,2.26246,0.00169492,
PXL+INTT fit,2.27446,0.00169492,
PXL+INTT fit,2.28646,0.00168188,
PXL+INTT fit,2.29846,0.00166884,
PXL+INTT fit,2.31046,0.00166884,
PXL+INTT fit,2.32246,0.00166884,
PXL+INTT fit,2.33446,0.00166884,
PXL+INTT fit,2.34646,0.00166884,
PXL+INTT fit,2.35846,0.00165580,
PXL+INTT fit,2.37046,0.00164928,
PXL+INTT fit,2.38246,0.00164276,
PXL+INTT fit,2.39446,0.00164276,
PXL+INTT fit,2.40646,0.00164276,
PXL+INTT fit,2.41846,0.00164276,
PXL+INTT fit,2.43046,0.00163625,
PXL+INTT fit,2.44246,0.00162973,
PXL+INTT fit,2.45446,0.00161669,
PXL+INTT fit,2.46646,0.00161669,
PXL+INTT fit,2.47846,0.00161669,
PXL+INTT fit,2.49046,0.00161669,
PXL+INTT fit,2.50246,0.00161669,
PXL+INTT fit,2.51446,0.00161669,
PXL+INTT fit,2.52646,0.00160365,
PXL+INTT fit,2.53846,0.00160365,
PXL+INTT fit,2.55046,0.00159061,
PXL+INTT fit,2.56246,0.00159061,
PXL+INTT fit,2.57446,0.00159061,
PXL+INTT fit,2.58646,0.00159061,
PXL+INTT fit,2.59846,0.00159061,
PXL+INTT fit,2.61046,0.00159061,
PXL+INTT fit,2.62246,0.00157757,
PXL+INTT fit,2.63446,0.00157757,
PXL+INTT fit,2.64646,0.00156454,
PXL+INTT fit,2.65846,0.00156454,
PXL+INTT fit,2.67046,0.00156454,
PXL+INTT fit,2.68246,0.00156454,
PXL+INTT fit,2.69446,0.00156454,
PXL+INTT fit,2.70646,0.00156454,
PXL+INTT fit,2.71846,0.00155150,
PXL+INTT fit,2.73046,0.00155150,
PXL+INTT fit,2.74246,0.00155150,
PXL+INTT fit,2.75446,0.00153846,
PXL+INTT fit,2.76646,0.00153846,
PXL+INTT fit,2.77846,0.00153846,
PXL+INTT fit,2.79046,0.00153846,
PXL+INTT fit,2.80246,0.00153846,
PXL+INTT fit,2.81446,0.00153846,
PXL+INTT fit,2.82646,0.00153846,
PXL+INTT fit,2.83846,0.00152542,
PXL+INTT fit,2.85046,0.00152542,
PXL+INTT fit,2.86246,0.00152542,
PXL+INTT fit,2.87446,0.00151239,
PXL+INTT fit,2.88646,0.00151239,
PXL+INTT fit,2.89846,0.00151239,
PXL+INTT fit,2.91046,0.00151239,
PXL+INTT fit,2.92246,0.00151239,
PXL+INTT fit,2.93446,0.00151239,
