energy,particle,centrality,nq,mass,pt,v2,mt_minus_m0_over_nq,v2_over_nq,stat_over_nq,syst_over_nq,glob_over_nq,source,source_doi,table,table_doi
3.0,Lambda,10-40%,3,1.115683,0.5,-0.018612,0.03563869961396312,-0.006204,0.0015066666666666666,0.008202666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31
3.0,Lambda,10-40%,3,1.115683,0.7,-0.018863,0.06713851237401107,-0.006287666666666667,0.001061,0.002765333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31
3.0,Lambda,10-40%,3,1.115683,0.9,-0.02042,0.1059188050015647,-0.006806666666666667,0.0010716666666666667,0.004967666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31
3.0,Lambda,10-40%,3,1.115683,1.1,-0.010807,0.15036024023198155,-0.0036023333333333337,0.0013556666666666667,0.011924666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31
3.0,Lambda,10-40%,3,1.115683,1.4,-0.000425,0.224832717287989,-0.00014166666666666665,0.0018390000000000001,0.0020386666666666665,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31
3.0,Lambda,10-40%,3,1.115683,1.8,0.017864,0.3340131642649316,0.005954666666666667,0.0050416666666666665,0.004363333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31
3.0,p,10-40%,3,0.93827208816,0.339501,-0.006221,0.019844407907532353,-0.002073666666666667,4.366666666666667e-05,0.000304,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,0.509349,-0.011393,0.04311260654485616,-0.0037976666666666666,3.2e-05,0.00014933333333333332,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,0.703229,-0.017742,0.07809434798669172,-0.005914,3.5000000000000004e-05,0.00018833333333333332,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,0.898212,-0.02441,0.12020905994066045,-0.008136666666666667,4.366666666666667e-05,0.000245,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,1.09527,-0.029245,0.1679794426481449,-0.009748333333333333,6.2e-05,0.0002953333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,1.2929,-0.031307,0.21973623885033566,-0.010435666666666668,9.766666666666668e-05,0.00033766666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,1.49358,-0.030302,0.2751896991278926,-0.010100666666666666,0.0001733333333333333,0.0003186666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,1.69566,-0.028629,0.3332231449855883,-0.009543000000000001,0.000319,0.00040466666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,p,10-40%,3,0.93827208816,1.89754,-0.023654,0.3928560475692419,-0.007884666666666667,0.0005723333333333333,0.000499,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26
3.0,pi+,10-40%,2,0.13957039,0.290944,-0.022717,0.09155939345957004,-0.0113585,8.55e-05,0.0002585,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1
3.0,pi+,10-40%,2,0.13957039,0.487398,-0.033481,0.18370874189433292,-0.0167405,0.0001485,0.0002555,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1
3.0,pi+,10-40%,2,0.13957039,0.687496,-0.037594,0.2809749238065542,-0.018797,0.0002635,0.0003215,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1
3.0,pi+,10-40%,2,0.13957039,0.924939,-0.047631,0.3979198529430792,-0.0238155,0.0004305,0.000347,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1
3.0,pi+,10-40%,2,0.13957039,1.32218,-0.046602,0.5949778917769268,-0.023301,0.001579,0.0003875,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1
3.0,pi-,10-40%,2,0.13957039,0.287527,-0.014398,0.0900206790267016,-0.007199,7.5e-05,0.0001105,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6
3.0,pi-,10-40%,2,0.13957039,0.486589,-0.019564,0.18331989616064423,-0.009782,0.000138,0.0001535,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6
3.0,pi-,10-40%,2,0.13957039,0.687114,-0.023119,0.28078774418696584,-0.0115595,0.000249,0.000192,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6
3.0,pi-,10-40%,2,0.13957039,0.923061,-0.031608,0.3969913852516639,-0.015804,0.0004055,0.0002255,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6
3.0,pi-,10-40%,2,0.13957039,1.3157,-0.038212,0.591755881533565,-0.019106,0.001611,0.0011855,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6
3.2,K+,10-40%,2,0.493677,0.3,-0.014916,0.04200271084473042,-0.007458,0.0004885,0.0010615,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K+,10-40%,2,0.493677,0.5,-0.008119,0.10448648499573013,-0.0040595,0.000388,0.0002345,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K+,10-40%,2,0.493677,0.7,8.1e-05,0.181447905437121,4.05e-05,0.0004745,0.000449,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K+,10-40%,2,0.493677,0.9,0.009206,0.2664150875006136,0.004603,0.0007145,0.0001595,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K+,10-40%,2,0.493677,1.1,0.021403,0.3560124310619418,0.0107015,0.001217,0.0003945,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K+,10-40%,2,0.493677,1.3,0.024633,0.44845226297779917,0.0123165,0.0021195,0.001556,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K+,10-40%,2,0.493677,1.5,0.042103,0.5427368574436389,0.0210515,0.0038425,0.000297,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12
3.2,K-,10-40%,2,0.493677,0.3,0.002709,0.04200271084473042,0.0013545,0.0018405,0.002719,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K-,10-40%,2,0.493677,0.5,-0.009083,0.10448648499573013,-0.0045415,0.001455,0.000656,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K-,10-40%,2,0.493677,0.7,-0.007908,0.181447905437121,-0.003954,0.00195,0.0023895,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K-,10-40%,2,0.493677,0.9,-0.011277,0.2664150875006136,-0.0056385,0.0029695,0.0011765,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K-,10-40%,2,0.493677,1.1,-0.011528,0.3560124310619418,-0.005764,0.0057685,0.0035745,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K-,10-40%,2,0.493677,1.3,-0.012389,0.44845226297779917,-0.0061945,0.01289,0.009191,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K-,10-40%,2,0.493677,1.5,-0.111474,0.5427368574436389,-0.055737,0.0309015,0.017715,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17
3.2,K0S,10-40%,2,0.497611,0.35,-0.003182,0.05538058914651239,-0.001591,0.003377,0.0,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22
3.2,K0S,10-40%,2,0.497611,0.55,-0.003002,0.12204376429784108,-0.001501,0.0028295,5.7e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22
3.2,K0S,10-40%,2,0.497611,0.75,0.01012,0.20122691753261507,0.00506,0.0028165,0.001362,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22
3.2,K0S,10-40%,2,0.497611,0.95,0.008846,0.28741197158242615,0.004423,0.0036115,0.0004905,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22
3.2,K0S,10-40%,2,0.497611,1.15,0.041015,0.3777159895199126,0.0205075,0.005383,0.0028695,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22
3.2,K0S,10-40%,2,0.497611,1.45,0.067877,0.5176990184669494,0.0339385,0.007676,0.004667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t22
3.2,Lambda,10-40%,3,1.115683,0.5,-0.004355,0.03563869961396312,-0.0014516666666666669,0.0012396666666666667,0.0009826666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,0.7,-0.009017,0.06713851237401107,-0.003005666666666667,0.0008403333333333332,0.0014426666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,0.9,-0.006183,0.1059188050015647,-0.002061,0.0008500000000000001,0.0006453333333333334,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,1.1,0.001529,0.15036024023198155,0.0005096666666666666,0.0010386666666666667,0.00039966666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,1.3,-0.00299,0.1991425944946507,-0.0009966666666666668,0.0014263333333333333,0.0009393333333333334,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,1.5,0.01784,0.251247219739036,0.005946666666666667,0.0021436666666666666,0.0021416666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,1.8,0.027959,0.3340131642649316,0.009319666666666667,0.0029623333333333337,0.0011876666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,Lambda,10-40%,3,1.115683,2.25,0.044462,0.4652468705059261,0.014820666666666668,0.009209333333333333,0.007384666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\Lambda$,10.17182/hepdata.159489.v1/t32
3.2,p,10-40%,3,0.93827208816,0.5,-0.004783,0.04163640939422245,-0.0015943333333333332,3.5333333333333336e-05,9.133333333333334e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,0.7,-0.006074,0.07744977762985839,-0.002024666666666667,3.8e-05,3e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,0.9,-0.006818,0.12062141841212888,-0.0022726666666666668,4.633333333333333e-05,2.5666666666666666e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,1.1,-0.006598,0.16917791548653902,-0.002199333333333333,6.3e-05,9.766666666666668e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,1.3,-0.005063,0.2216534770964725,-0.0016876666666666665,9.233333333333333e-05,0.000119,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,1.5,-0.0028,0.2770029003832118,-0.0009333333333333333,0.00014333333333333334,0.00013033333333333335,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,1.7,0.003433,0.3344893283079888,0.0011443333333333334,0.00023033333333333334,9.366666666666666e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,1.9,0.010782,0.393591190790716,0.003594,0.000385,0.000122,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,2.1,0.026199,0.4539349927496301,0.008733,0.0006703333333333334,0.00025633333333333335,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,2.4,0.024493,0.5462054816077215,0.008164333333333334,0.001062,0.0006666666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,p,10-40%,3,0.93827208816,2.8,0.046268,0.6715841832114317,0.015422666666666666,0.0038393333333333335,0.0030903333333333334,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$p$,10.17182/hepdata.159489.v1/t27
3.2,pi+,10-40%,2,0.13957039,0.3,-0.011739,0.09565353517279848,-0.0058695,7.35e-05,0.0001115,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi+,10-40%,2,0.13957039,0.5,-0.015394,0.18977206928129117,-0.007697,0.000129,0.000177,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi+,10-40%,2,0.13957039,0.7,-0.01573,0.2871041063823586,-0.007865,0.000212,0.000144,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi+,10-40%,2,0.13957039,0.9,-0.018899,0.3855937389014137,-0.0094495,0.0003745,0.000208,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi+,10-40%,2,0.13957039,1.1,-0.020862,0.484624376924212,-0.010431,0.0006965,0.0004375,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi+,10-40%,2,0.13957039,1.3,-0.021759,0.5839502051744039,-0.0108795,0.0013015,0.000666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi+,10-40%,2,0.13957039,1.5,-0.006479,0.6834544570637957,-0.0032395,0.002519,0.002852,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t2
3.2,pi-,10-40%,2,0.13957039,0.3,-0.004401,0.09565353517279848,-0.0022005,6.55e-05,7e-05,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.2,pi-,10-40%,2,0.13957039,0.5,-0.002417,0.18977206928129117,-0.0012085,0.000122,9e-06,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.2,pi-,10-40%,2,0.13957039,0.7,-0.003288,0.2871041063823586,-0.001644,0.0002115,0.0001795,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.2,pi-,10-40%,2,0.13957039,0.9,-0.006029,0.3855937389014137,-0.0030145,0.00037,0.00029,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.2,pi-,10-40%,2,0.13957039,1.1,-0.005726,0.484624376924212,-0.002863,0.00067,0.000307,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.2,pi-,10-40%,2,0.13957039,1.3,-0.004307,0.5839502051744039,-0.0021535,0.001256,0.000701,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.2,pi-,10-40%,2,0.13957039,1.5,0.008335,0.6834544570637957,0.0041675,0.002425,0.003038,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t7
3.5,K+,10-40%,2,0.493677,0.3,-0.003542,0.04200271084473042,-0.001771,0.0010005,0.0010605,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{+}$,10.17182/hepdata.159489.v1/t13
3.5,K+,10-40%,2,0.493677,0.5,0.001709,0.10448648499573013,0.0008545,0.001377,0.0006015,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{+}$,10.17182/hepdata.159489.v1/t13
3.5,K+,10-40%,2,0.493677,0.7,0.017111,0.181447905437121,0.0085555,0.000818,0.0008615,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{+}$,10.17182/hepdata.159489.v1/t13
3.5,K+,10-40%,2,0.493677,1.0,0.032381,0.31077179857979675,0.0161905,0.0009115,0.001373,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{+}$,10.17182/hepdata.159489.v1/t13
3.5,K+,10-40%,2,0.493677,1.4,0.041508,0.4954075812171729,0.020754,0.0027005,0.0,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{+}$,10.17182/hepdata.159489.v1/t13
3.5,K-,10-40%,2,0.493677,0.3,-0.006307,0.04200271084473042,-0.0031535,0.0041875,0.001702,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{-}$,10.17182/hepdata.159489.v1/t18
3.5,K-,10-40%,2,0.493677,0.5,0.003163,0.10448648499573013,0.0015815,0.0045465,0.0022765,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{-}$,10.17182/hepdata.159489.v1/t18
3.5,K-,10-40%,2,0.493677,0.7,0.017298,0.181447905437121,0.008649,0.002798,0.00088,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.5GeV_$K^{-}$,10.17182/hepdata.159489.v1/t18
