energy,particle,centrality,pt,v2,stat,syst,glob,nq,mass,mt_minus_m0_over_nq,v2_over_nq,stat_over_nq,syst_over_nq,glob_over_nq,source,source_doi,table,table_doi,extraction
3.0,Lambda,10-40%,0.7,-0.018863,0.003183,0.008296,0.0,3,1.115683,0.06713851237401107,-0.006287666666666667,0.001061,0.002765333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,0.9,-0.02042,0.003215,0.014903,0.0,3,1.115683,0.1059188050015647,-0.006806666666666667,0.0010716666666666667,0.004967666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,1.1,-0.010807,0.004067,0.035774,0.0,3,1.115683,0.15036024023198155,-0.0036023333333333337,0.0013556666666666667,0.011924666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,1.4,-0.000425,0.005517,0.006116,0.0,3,1.115683,0.224832717287989,-0.00014166666666666665,0.0018390000000000001,0.0020386666666666665,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,1.8,0.017864,0.015125,0.01309,0.0,3,1.115683,0.3340131642649316,0.005954666666666667,0.0050416666666666665,0.004363333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.339501,-0.006221,0.000131,0.000912,0.0,3,0.93827208816,0.019844407907532353,-0.002073666666666667,4.366666666666667e-05,0.000304,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.509349,-0.011393,9.6e-05,0.000448,0.0,3,0.93827208816,0.04311260654485616,-0.0037976666666666666,3.2e-05,0.00014933333333333332,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.703229,-0.017742,0.000105,0.000565,0.0,3,0.93827208816,0.07809434798669172,-0.005914,3.5000000000000004e-05,0.00018833333333333332,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.898212,-0.02441,0.000131,0.000735,0.0,3,0.93827208816,0.12020905994066045,-0.008136666666666667,4.366666666666667e-05,0.000245,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.09527,-0.029245,0.000186,0.000886,0.0,3,0.93827208816,0.1679794426481449,-0.009748333333333333,6.2e-05,0.0002953333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.2929,-0.031307,0.000293,0.001013,0.0,3,0.93827208816,0.21973623885033566,-0.010435666666666668,9.766666666666668e-05,0.00033766666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.49358,-0.030302,0.00052,0.000956,0.0,3,0.93827208816,0.2751896991278926,-0.010100666666666666,0.0001733333333333333,0.0003186666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.69566,-0.028629,0.000957,0.001214,0.0,3,0.93827208816,0.3332231449855883,-0.009543000000000001,0.000319,0.00040466666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.89754,-0.023654,0.001717,0.001497,0.0,3,0.93827208816,0.3928560475692419,-0.007884666666666667,0.0005723333333333333,0.000499,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi+,10-40%,0.290944,-0.022717,0.000171,0.000517,0.0,2,0.13957039,0.09155939345957004,-0.0113585,8.55e-05,0.0002585,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi+,10-40%,0.487398,-0.033481,0.000297,0.000511,0.0,2,0.13957039,0.18370874189433292,-0.0167405,0.0001485,0.0002555,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi+,10-40%,0.687496,-0.037594,0.000527,0.000643,0.0,2,0.13957039,0.2809749238065542,-0.018797,0.0002635,0.0003215,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi+,10-40%,0.924939,-0.047631,0.000861,0.000694,0.0,2,0.13957039,0.3979198529430792,-0.0238155,0.0004305,0.000347,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi+,10-40%,1.32218,-0.046602,0.003158,0.000775,0.0,2,0.13957039,0.5949778917769268,-0.023301,0.001579,0.0003875,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{+}$,10.17182/hepdata.159489.v1/t1,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi-,10-40%,0.287527,-0.014398,0.00015,0.000221,0.0,2,0.13957039,0.0900206790267016,-0.007199,7.5e-05,0.0001105,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi-,10-40%,0.486589,-0.019564,0.000276,0.000307,0.0,2,0.13957039,0.18331989616064423,-0.009782,0.000138,0.0001535,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi-,10-40%,0.687114,-0.023119,0.000498,0.000384,0.0,2,0.13957039,0.28078774418696584,-0.0115595,0.000249,0.000192,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi-,10-40%,0.923061,-0.031608,0.000811,0.000451,0.0,2,0.13957039,0.3969913852516639,-0.015804,0.0004055,0.0002255,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6,direct HEPData v2(pT); NCQ transform computed locally
3.0,pi-,10-40%,1.3157,-0.038212,0.003222,0.002371,0.0,2,0.13957039,0.591755881533565,-0.019106,0.001611,0.0011855,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\pi^{-}$,10.17182/hepdata.159489.v1/t6,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,0.3,-0.014916,0.000977,0.002123,0.0,2,0.493677,0.04200271084473042,-0.007458,0.0004885,0.0010615,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,0.5,-0.008119,0.000776,0.000469,0.0,2,0.493677,0.10448648499573013,-0.0040595,0.000388,0.0002345,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,0.7,8.1e-05,0.000949,0.000898,0.0,2,0.493677,0.181447905437121,4.05e-05,0.0004745,0.000449,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,0.9,0.009206,0.001429,0.000319,0.0,2,0.493677,0.2664150875006136,0.004603,0.0007145,0.0001595,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,1.1,0.021403,0.002434,0.000789,0.0,2,0.493677,0.3560124310619418,0.0107015,0.001217,0.0003945,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,1.3,0.024633,0.004239,0.003112,0.0,2,0.493677,0.44845226297779917,0.0123165,0.0021195,0.001556,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K+,10-40%,1.5,0.042103,0.007685,0.000594,0.0,2,0.493677,0.5427368574436389,0.0210515,0.0038425,0.000297,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{+}$,10.17182/hepdata.159489.v1/t12,direct HEPData v2(pT); NCQ transform computed locally
3.2,K-,10-40%,0.3,0.002709,0.003681,0.005438,0.0,2,0.493677,0.04200271084473042,0.0013545,0.0018405,0.002719,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
3.2,K-,10-40%,0.5,-0.009083,0.00291,0.001312,0.0,2,0.493677,0.10448648499573013,-0.0045415,0.001455,0.000656,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
3.2,K-,10-40%,0.7,-0.007908,0.0039,0.004779,0.0,2,0.493677,0.181447905437121,-0.003954,0.00195,0.0023895,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
3.2,K-,10-40%,0.9,-0.011277,0.005939,0.002353,0.0,2,0.493677,0.2664150875006136,-0.0056385,0.0029695,0.0011765,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3.2GeV_$K^{-}$,10.17182/hepdata.159489.v1/t17,direct HEPData v2(pT); NCQ transform computed locally
