observable,experiment,collaboration,system,particle,centrality,sqrt_s_NN_GeV,beam_energy_A_GeV,value,stat_err_plus,stat_err_minus,syst_err_plus,syst_err_minus,source_citation,source_doi,data_source,data_source_doi,table_or_figure,extraction_method,notes
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,11.5,,-0.0238797,0.00173353,0.00173353,0.000472265,0.000472265,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,19.6,,-0.016315,0.00094944,0.00094944,0.000386864,0.000386864,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,27.0,,-0.0130634,0.00102075,0.00102075,0.000338137,0.000338137,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,39.0,,-0.0110353,0.000921438,0.000921438,0.000359618,0.000359618,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,62.4,,-0.00587525,0.00069624,0.00069624,0.000446856,0.000446856,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,200.0,,-0.00235619,5.23337e-05,5.23337e-05,2.46856e-05,2.46856e-05,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,7.7,,-0.0173067,0.00188481,0.00188481,0.00091441,0.00091441,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,11.5,,-0.018646,0.00169459,0.00169459,0.000461386,0.000461386,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,19.6,,-0.0146003,0.000938462,0.000938462,0.000382357,0.000382357,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,27.0,,-0.012676,0.00100908,0.00100908,0.000334132,0.000334132,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,39.0,,-0.0108669,0.000917088,0.000917088,0.00035757,0.00035757,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,62.4,,-0.0048208,0.000676113,0.000676113,0.000446856,0.000446856,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi-,10-40%,200.0,,-0.00233137,5.2499e-05,5.2499e-05,2.46856e-05,2.46856e-05,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,E895,E895,Au+Au,proton,"comparable, not identical to STAR 10-40%",3.8445653811306335,6.0,0.08723880597014926,0.004477611940298508,0.004477611940298508,,,"H. Liu et al. (E895), Phys. Rev. Lett. 84, 5488 (2000)",10.1103/PhysRevLett.84.5488,arXiv EPS vector graphic,10.48550/arXiv.1401.3043,"Fig. 3 of STAR PRL 112, 162301 EPS source",vector digitized from EPS coordinates,STAR Fig. 3 EPS comparison point
dv1_dy_midrapidity,E895,E895,Au+Au,proton,"comparable, not identical to STAR 10-40%",4.305086676826395,8.0,0.041791044776119404,0.003134328358208955,0.003134328358208955,,,"H. Liu et al. (E895), Phys. Rev. Lett. 84, 5488 (2000)",10.1103/PhysRevLett.84.5488,arXiv EPS vector graphic,10.48550/arXiv.1401.3043,"Fig. 3 of STAR PRL 112, 162301 EPS source",vector digitized from EPS coordinates,STAR Fig. 3 EPS comparison point
dv1_dy_midrapidity,NA49,NA49,Pb+Pb,proton,"comparable, not identical to STAR 10-40%",8.864715703178987,40.0,0.0004477611940298508,0.004776119402985075,0.004776119402985075,,,"C. Alt et al. (NA49), Phys. Rev. C 68, 034903 (2003)",10.1103/PhysRevC.68.034903,arXiv EPS vector graphic,10.48550/arXiv.1401.3043,"Fig. 3 of STAR PRL 112, 162301 EPS source",vector digitized from EPS coordinates,STAR Fig. 3 EPS comparison point
dv1_dy_midrapidity,NA49,NA49,Pb+Pb,proton,"comparable, not identical to STAR 10-40%",17.320952505130546,158.0,-0.006194029850746269,0.0011940298507462687,0.0011940298507462687,,,"C. Alt et al. (NA49), Phys. Rev. C 68, 034903 (2003)",10.1103/PhysRevC.68.034903,arXiv EPS vector graphic,10.48550/arXiv.1401.3043,"Fig. 3 of STAR PRL 112, 162301 EPS source",vector digitized from EPS coordinates,STAR Fig. 3 EPS comparison point
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,7.7,,0.0125633,0.00110027,0.00110027,0.0029,0.0029,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,11.5,,-0.00544871,0.00111279,0.00111279,0.0021,0.0021,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,19.6,,-0.00594486,0.000777508,0.000777508,0.0014,0.0014,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,27.0,,-0.00497679,0.000761942,0.000761942,0.001,0.001,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,39.0,,-0.00342149,0.000927623,0.000927623,0.0012,0.0012,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,62.4,,-0.00267291,0.00195178,0.00195178,0.00317921,0.00317921,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,200.0,,-0.000821396,0.000211236,0.000211236,0.00052713,0.00052713,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
