#: table_doi: 10.17182/hepdata.95903.v1/t9
#: name: Figure 14
#: description: The excitation function v2 for all charged particles or separately for protons and pions, measured by several experiments. The STAR FXT points for protons and for pions are near the region where a change in slope occurs.
#: data_file: fig14.yaml
#: keyword reactions: AU AU --> X
#: Dataset,STAR FXT (p) 0-30%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,,0,0
200,,0,0
60.4,,0,0
200,,0,0
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,EOS, E895, E877 (p) 5-7 fm
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,-0.065,0.007,-0.007
2.683,-0.047,0.005,-0.005
3.305,-0.002,0.004,-0.004
3.827,0.016,0.003,-0.003
4.287,0.019,0.006,-0.006
4.857,0.022,0.005,-0.005
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,,0,0
17.26,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,,0,0
200,,0,0
60.4,,0,0
200,,0,0
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,CERES (Ch)
$\sqrt{s_{NN}}$,$v_2$
4.6,
4.4,
1.907,
1.922,
1.936,
1.984,
2.053,
2.142,
2.227,
2.309,
2.389,
2.503,
2.369,
2.683,
3.305,
3.827,
4.287,
4.857,
8.84,0.028
12.36,0.037
17.26,0.043
8.84,
17.26,
7.7,
11.5,
14.5,
19.6,
27,
39,
62.4,
125,
7.7,
11.5,
14.5,
19.6,
27,
39,
62.4,
135,
64.4,
200,
60.4,
200,
19.6,
58.4,
130,
200,

#: Dataset,NA49 (Ch) 12-34%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,,0,0
2.683,,0,0
3.305,,0,0
3.827,,0,0
4.287,,0,0
4.857,,0,0
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,0.024,0.003,-0.003
17.26,0.034,0.001,-0.001
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,,0,0
200,,0,0
60.4,,0,0
200,,0,0
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,STAR (p) 10-40%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,,0,0
2.683,,0,0
3.305,,0,0
3.827,,0,0
4.287,,0,0
4.857,,0,0
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,,0,0
17.26,,0,0
7.7,0.0357,0.0009,-0.0009
11.5,0.0402,0.0005,-0.0005
14.5,0.0412,0.0005,-0.0005
19.6,0.0412,0.0003,-0.0003
27,0.0412,0.0002,-0.0002
39,0.0431,0.0002,-0.0002
62.4,0.0527,0.0002,-0.0002
125,0.0395,0.006,-0.006
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,,0,0
200,,0,0
60.4,,0,0
200,,0,0
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,STAR (pion) 10-40%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,,0,0
2.683,,0,0
3.305,,0,0
3.827,,0,0
4.287,,0,0
4.857,,0,0
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,,0,0
17.26,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,0.0334,0.0005,-0.0005
11.5,0.0348,0.0002,-0.0002
14.5,0.0365,0.0002,-0.0002
19.6,0.0355,0.0001,-0.0001
27,0.0366,0.0001,-0.0001
39,0.0381,0.0001,-0.0001
62.4,0.0387,0.0001,-0.0001
135,0.03985,0.001,-0.001
64.4,,0,0
200,,0,0
60.4,,0,0
200,,0,0
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,PHENIX (p) 20-30%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,,0,0
2.683,,0,0
3.305,,0,0
3.827,,0,0
4.287,,0,0
4.857,,0,0
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,,0,0
17.26,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,0.045,0.005,-0.005
200,0.06,0.008,-0.008
60.4,,0,0
200,,0,0
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,PHENIX (pion) 20-30%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,,0,0
2.683,,0,0
3.305,,0,0
3.827,,0,0
4.287,,0,0
4.857,,0,0
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,,0,0
17.26,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,,0,0
200,,0,0
60.4,0.04,0.002,-0.002
200,0.04,0.002,-0.002
19.6,,0,0
58.4,,0,0
130,,0,0
200,,0,0

#: Dataset,PHOBOS (Ch) 0-40%
$\sqrt{s_{NN}}$,$v_2$,stat +,stat -
4.6,,0,0
4.4,,0,0
1.907,,0,0
1.922,,0,0
1.936,,0,0
1.984,,0,0
2.053,,0,0
2.142,,0,0
2.227,,0,0
2.309,,0,0
2.389,,0,0
2.503,,0,0
2.369,,0,0
2.683,,0,0
3.305,,0,0
3.827,,0,0
4.287,,0,0
4.857,,0,0
8.84,,0,0
12.36,,0,0
17.26,,0,0
8.84,,0,0
17.26,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
125,,0,0
7.7,,0,0
11.5,,0,0
14.5,,0,0
19.6,,0,0
27,,0,0
39,,0,0
62.4,,0,0
135,,0,0
64.4,,0,0
200,,0,0
60.4,,0,0
200,,0,0
19.6,0.033,0.005,-0.005
58.4,0.044,0.003,-0.003
130,0.048,0.003,-0.003
200,0.052,0.003,-0.003

