# Auto-generated from BESII_Review data
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1          -3312              0              3              0          0.598    0.038470768
              1          -3122              0              3              0           2.75     0.14035669
              1          -2212              0              3              0         4.2505     0.72669019
              1           -321              0              3              0       22.62347      2.0598715
              1           -211              0              3              0      177.05698      19.551123
              1            211              0              3              0      172.97171      19.104838
              1            321              0              3              0       31.06865      2.8151123
              1           2212              0              3              0      24.280955      3.8246638
              1           3122              0              3              0          11.67     0.51156622
              1           3312              0              3              0           1.57     0.11045361
