# Auto-generated from BESII_Review data
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1          -3312              0              3              0           0.78     0.11045361
              1          -3122              0              3              0           3.82     0.36013886
              1          -2212              0              3              0       6.050265      1.0489691
              1           -321              0              3              0       25.01244      2.2723692
              1           -211              0              3              0       185.7652      20.519199
              1            211              0              3              0      182.27987      20.143331
              1            321              0              3              0      31.966035      2.9045002
              1           2212              0              3              0      19.457055      2.9728808
              1           3122              0              3              0          11.02      0.8605231
              1           3312              0              3              0           1.54     0.19026298
