# Auto-generated from BESII_Review data
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1          -3312              0              3              0           1.83     0.20615528
              1          -3122              0              3              0           12.7     0.92195445
              1          -2212              0              3              0        18.5847      3.4506627
              1           -321              0              3              0           49.5            6.2
              1           -211              0              3              0            327             25
              1            211              0              3              0            322             25
              1            321              0              3              0           51.3            6.5
              1           2212              0              3              0        24.0287      4.4576228
              1           3122              0              3              0           16.7       1.118034
              1           3312              0              3              0           2.17     0.19924859
