energy_GeV,fit_file,n_points
7.7,data/thermalfist_inputs/sqrts_7p7GeV.dat,10
11.5,data/thermalfist_inputs/sqrts_11p5GeV.dat,10
19.6,data/thermalfist_inputs/sqrts_19p6GeV.dat,10
27,data/thermalfist_inputs/sqrts_27GeV.dat,10
39,data/thermalfist_inputs/sqrts_39GeV.dat,10
62.4,data/thermalfist_inputs/sqrts_62p4GeV.dat,6
130,data/thermalfist_inputs/sqrts_130GeV.dat,8
200,data/thermalfist_inputs/sqrts_200GeV.dat,10
