# Auto-generated from BESII_Review data
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1          -3312              0              3              0         0.0657   0.0080993827
              1          -3122              0              3              0          0.193    0.019924859
              1          -2212              0              3              0       0.274805    0.053159481
              1           -321              0              3              0        7.69272     0.62510123
              1           -211              0              3              0       100.0391       9.116046
              1            211              0              3              0        93.4598      8.4366868
              1            321              0              3              0       20.80071      1.6883491
              1           2212              0              3              0       45.18576      6.0797354
              1           3122              0              3              0           15.3     0.82734515
              1           3312              0              3              0           1.19     0.11401754
