# Auto-generated from BESII_Review data
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1          -3312              0              3              0          0.421    0.030413813
              1          -3122              0              3              0          1.858    0.099408249
              1          -2212              0              3              0       2.970138     0.54478003
              1           -321              0              3              0        18.8266      1.8931018
              1           -211              0              3              0        165.789      18.252782
              1            211              0              3              0        161.395      17.914797
              1            321              0              3              0        29.5581       2.974592
              1           2212              0              3              0       26.18388      4.4713772
              1           3122              0              3              0          12.58     0.46173586
              1           3312              0              3              0           1.62     0.10198039
