index,title,star_url,journal_raw,journal,year
377,Observation of the Onset of Constituent Quark Number Scaling in Heavy-Ion Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Observation-Onset-Constituent-Quark-Number-Scaling-Heavy-Ion-Collisions-RHIC,PRL 2025,PRL,2025
374,Search for the chiral magnetic effect through beam energy dependence of charge separation using event shape selection,https://drupal.star.bnl.gov/STAR/publications/Search-chiral-magnetic-effect-through-beam-energy-dependence-charge-separation-using-ev,PRC 2026,PRC,2026
368,Precision Measurement of (Net-)proton Number Fluctuations in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Precision-Measurement-Net-proton-Number-Fluctuations-AuAu-Collisions-RHIC,PRL 2025,PRL,2025
362,Light Nuclei Femtoscopy and Baryon Interactions in 3 GeV Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Light-Nuclei-Femtoscopy-and-Baryon-Interactions-3-GeV-AuAu-Collisions-RHIC,PLB 2024,PLB,2024
360,Temperature Measurement of Quark-Gluon Plasma at Different Stages,https://drupal.star.bnl.gov/STAR/publications/Temperature-Measurement-Quark-Gluon-Plasma-Different-Stages,Nature Comm. 2025,Nature Comm.,2025
356,Measurement of directed flow in Au+Au collisions at sqrt{s_{NN}}= 19.6 and 27 GeV with the STAR Event Plane Detector,https://drupal.star.bnl.gov/STAR/publications/Measurement-directed-flow-AuAu-collisions-sqrtsNN-196-and-27-GeV-STAR-Event-Plane-Detec,PRC 2025,PRC,2025
353,Strangeness Production in sqrt{s_NN} = 3 GeV Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Strangeness-Production-sqrtsNN-3-GeV-AuAu-Collisions-RHIC,JHEP 2024,JHEP,2024
352,Production of Protons and Light Nuclei in Au+Au Collisions at sqrt{s_NN} = 3 GeV with the STAR Detector,https://drupal.star.bnl.gov/STAR/publications/Production-Protons-and-Light-Nuclei-AuAu-Collisions-sqrtsNN-3-GeV-STAR-Detector,PRC 2024,PRC,2024
350,Reaction plane correlated triangular flow in Au+Au collisions at sqrt{s_NN} = 3 GeV,https://drupal.star.bnl.gov/STAR/publications/Reaction-plane-correlated-triangular-flow-AuAu-collisions-sqrtsNN-3-GeV,PRC 2024,PRC,2024
345,Event-by-event correlations between Lambda (anti-Lambda) hyperon global polarization and handedness with charged hadron azimuthal separation in Au+Au collisions at sqrt(sNN) = 27 GeV from STAR,https://drupal.star.bnl.gov/STAR/publications/Event-event-correlations-between-Lambda-anti-Lambda-hyperon-global-polarization-and-han,PRC 2023,PRC,2023
