energy_GeV,particle,data_yield,data_err,data_source,gc_effective_yield,sce_blended_yield,note
14.5,p,39.0,4.700122977,ins1748776/dNdy_vs_Npart(p),,,
19.6,pi+,161.39499999999998,17.91479715,"ins1510593/dN/dy, 19.6 GeV",136.103011,,derived from dN/dy/(0.5*Npart) using Npart
19.6,pi-,165.789,18.25278239,"ins1510593/dN/dy, 19.6 GeV",136.008382,,derived from dN/dy/(0.5*Npart) using Npart
19.6,K+,29.5581,2.974592039,"ins1510593/dN/dy, 19.6 GeV",30.057298,,derived from dN/dy/(0.5*Npart) using Npart
19.6,K-,18.8266,1.893101762,"ins1510593/dN/dy, 19.6 GeV",20.251429,,derived from dN/dy/(0.5*Npart) using Npart
19.6,p,34.222500000000004,4.461632007,"ins1510593/dN/dy, 19.6 GeV",30.903802,,derived from dN/dy/(0.5*Npart) using Npart
19.6,pbar,4.1574,0.5410639981,"ins1510593/dN/dy, 19.6 GeV",2.769494,,derived from dN/dy/(0.5*Npart) using Npart
19.6,Ks0,20.89,0.6747592163,ins1738953/K0S dN/dy 19.6 GeV,24.515640,,
19.6,Lambda,12.58,0.4617358552,ins1738953/Lambda dN/dy 19.6 GeV,12.650006,,
19.6,Lambda_bar,1.858,0.09940824915,ins1738953/AntiLambda dN/dy 19.6 GeV,1.922168,,
19.6,Xi,1.62,0.1019803903,ins1738953/Xi- dN/dy 19.6 GeV,1.546534,,
19.6,Xi_bar,0.421,0.03041381265,ins1738953/AntiXi+ dN/dy 19.6 GeV,0.392055,,
19.6,phi,2.57,0.3522782991,ins1738953/Phi dN/dy 19.6 GeV,3.136364,,
27,pi+,172.97170500000001,19.10483778,"ins1510593/dN/dy, 27 GeV",148.995513,,derived from dN/dy/(0.5*Npart) using Npart
27,pi-,177.05697500000002,19.55112338,"ins1510593/dN/dy, 27 GeV",148.913540,,derived from dN/dy/(0.5*Npart) using Npart
27,K+,31.06865,2.815112332,"ins1510593/dN/dy, 27 GeV",32.591795,,derived from dN/dy/(0.5*Npart) using Npart
27,K-,22.62347,2.05987152,"ins1510593/dN/dy, 27 GeV",23.297385,,derived from dN/dy/(0.5*Npart) using Npart
27,p,31.738085,3.81066866,"ins1510593/dN/dy, 27 GeV",27.367325,,derived from dN/dy/(0.5*Npart) using Npart
27,pbar,6.007750000000001,0.7211343163,"ins1510593/dN/dy, 27 GeV",4.263064,,derived from dN/dy/(0.5*Npart) using Npart
27,Ks0,23.24,0.7057619995,ins1738953/K0S dN/dy 27 GeV,27.230013,,
27,Lambda,11.67,0.5115662225,ins1738953/Lambda dN/dy 27 GeV,11.742554,,
27,Lambda_bar,2.75,0.1403566885,ins1738953/AntiLambda dN/dy 27 GeV,2.845002,,
27,Xi,1.57,0.1104536102,ins1738953/Xi- dN/dy 27 GeV,1.506783,,
27,Xi_bar,0.598,0.03847076812,ins1738953/AntiXi+ dN/dy 27 GeV,0.559908,,
27,phi,3.01,0.4517742799,ins1738953/Phi dN/dy 27 GeV,3.588193,,
39,pi+,182.279865,20.14333093,"ins1510593/dN/dy, 39 GeV",157.790804,,derived from dN/dy/(0.5*Npart) using Npart
39,pi-,185.76520499999998,20.5191988,"ins1510593/dN/dy, 39 GeV",157.732125,,derived from dN/dy/(0.5*Npart) using Npart
39,K+,31.966034999999998,2.90450025,"ins1510593/dN/dy, 39 GeV",32.899571,,derived from dN/dy/(0.5*Npart) using Npart
39,K-,25.012439999999998,2.272369228,"ins1510593/dN/dy, 39 GeV",26.694407,,derived from dN/dy/(0.5*Npart) using Npart
39,p,26.498834999999996,2.921584956,"ins1510593/dN/dy, 39 GeV",22.722374,,derived from dN/dy/(0.5*Npart) using Npart
39,pbar,8.491245,1.023414318,"ins1510593/dN/dy, 39 GeV",6.280364,,derived from dN/dy/(0.5*Npart) using Npart
39,Ks0,24.9,1.702938637,ins1738953/K0S dN/dy 39 GeV,29.027997,,
39,Lambda,11.02,0.8605230967,ins1738953/Lambda dN/dy 39 GeV,10.593718,,
39,Lambda_bar,3.82,0.3601388621,ins1738953/AntiLambda dN/dy 39 GeV,3.873721,,
39,Xi,1.54,0.1902629759,ins1738953/Xi- dN/dy 39 GeV,1.476480,,
39,Xi_bar,0.78,0.1104536102,ins1738953/AntiXi+ dN/dy 39 GeV,0.707833,,
39,phi,3.38,0.4809365863,ins1738953/Phi dN/dy 39 GeV,3.922773,,
62.4,pi+,233.0,17,arXiv:0808.2041/Table VIII,203.021186,,table gives total uncertainty (stat+sys)
