energy_GeV,particle,data_yield,data_err,gc_model_yield,gc_model_err_low,gc_model_err_high,sce_blended_model_yield,sce_blended_model_err_low,sce_blended_model_err_high,data_source,model_source,note
10.1011,Lambda,,,1.3382498939e+01,2.413579375,2.574399782,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,Lambda_bar,,,4.4821169347e-01,0.09703420683,0.1090559897,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,Xi,,,1.2477586177e+00,0.2472491773,0.2675237115,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,Xi_bar,,,1.1107944295e-01,0.02470069709,0.02768327416,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,phi,,,1.7609173935e+00,0.2959544992,0.3143944256,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,K+,,,2.3847629643e+01,3.425650493,3.563647736,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,K-,,,1.1557423227e+01,1.859132927,1.984248826,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,Ks0,,,1.7272385460e+01,2.540885601,2.668328075,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,Lambda,,,1.3145233268e+01,2.327777827,2.500062479,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,Lambda_bar,,,5.3206605829e-01,0.1134517763,0.1283570666,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,Xi,,,1.2664345212e+00,0.2462180173,0.2681712271,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,Xi_bar,,,1.2884447906e-01,0.02817496758,0.03178637616,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.8103,phi,,,1.8754717441e+00,0.3093546783,0.3305061453,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
11.5,K+,24.992979999999996,2.520100653,2.4386082256e+01,3.407908356,3.555878256,,,,"ins1510593/dN/dy, 11.5 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
11.5,K-,12.344299999999999,1.234893201,1.2275769344e+01,1.922299019,2.056724081,,,,"ins1510593/dN/dy, 11.5 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
11.5,Ks0,15.93,0.5922837158,1.7882641233e+01,2.563806338,2.700939337,,,,ins1738953/K0S dN/dy 11.5 GeV,THERMUS GCE parametrized fit,
11.5,Lambda,14.17,0.7840918314,1.2975541192e+01,2.25221394,2.4279564,,,,ins1738953/Lambda dN/dy 11.5 GeV,THERMUS GCE parametrized fit,
11.5,Lambda_bar,0.659,0.04785394446,6.1979268661e-01,0.1293292329,0.1465843851,,,,ins1738953/AntiLambda dN/dy 11.5 GeV,THERMUS GCE parametrized fit,
