energy_GeV,particle,data_yield,data_err,gc_effective_model_yield,sce_blended_model_yield,data_source,model_source,note
11.5,Lambda,14.17,0.7840918314,13.714797,,ins1738953/Lambda dN/dy 11.5 GeV,THERMUS SCE endpoint-interpolated,
11.5,Lambda_bar,0.659,0.04785394446,0.682425,,ins1738953/AntiLambda dN/dy 11.5 GeV,THERMUS SCE endpoint-interpolated,
11.5,Xi,1.35,0.1118033989,1.364904,,ins1738953/Xi- dN/dy 11.5 GeV,THERMUS SCE endpoint-interpolated,
11.5,Xi_bar,0.169,0.01456021978,0.161563,,ins1738953/AntiXi+ dN/dy 11.5 GeV,THERMUS SCE endpoint-interpolated,
11.5,phi,1.72,0.2630589288,2.137703,,ins1738953/Phi dN/dy 11.5 GeV,THERMUS SCE endpoint-interpolated,
19.6,K+,29.5581,2.974592039,30.057298,,"ins1510593/dN/dy, 19.6 GeV",THERMUS SCE endpoint-interpolated,derived from dN/dy/(0.5*Npart) using Npart
19.6,K-,18.8266,1.893101762,20.251429,,"ins1510593/dN/dy, 19.6 GeV",THERMUS SCE endpoint-interpolated,derived from dN/dy/(0.5*Npart) using Npart
19.6,Ks0,,,24.515640,,data/thermus_fit_predictions_full/prediction_points/sqrts_19p6GeV_points.csv,THERMUS GC fit,measured yield carried from THERMUS fit-point table
19.6,Lambda,12.58,0.4617358552,12.650006,,ins1738953/Lambda dN/dy 19.6 GeV,THERMUS SCE endpoint-interpolated,
19.6,Lambda_bar,1.858,0.09940824915,1.922168,,ins1738953/AntiLambda dN/dy 19.6 GeV,THERMUS SCE endpoint-interpolated,
19.6,Xi,1.62,0.1019803903,1.546534,,ins1738953/Xi- dN/dy 19.6 GeV,THERMUS SCE endpoint-interpolated,
19.6,Xi_bar,0.421,0.03041381265,0.392055,,ins1738953/AntiXi+ dN/dy 19.6 GeV,THERMUS SCE endpoint-interpolated,
19.6,phi,2.57,0.3522782991,3.136364,,ins1738953/Phi dN/dy 19.6 GeV,THERMUS SCE endpoint-interpolated,
27,K+,31.06865,2.815112332,32.591795,,"ins1510593/dN/dy, 27 GeV",THERMUS SCE endpoint-interpolated,derived from dN/dy/(0.5*Npart) using Npart
27,K-,22.62347,2.05987152,23.297385,,"ins1510593/dN/dy, 27 GeV",THERMUS SCE endpoint-interpolated,derived from dN/dy/(0.5*Npart) using Npart
27,Ks0,,,27.230013,,data/thermus_fit_predictions_full/prediction_points/sqrts_27p0GeV_points.csv,THERMUS GC fit,measured yield carried from THERMUS fit-point table
27,Lambda,11.67,0.5115662225,11.742554,,ins1738953/Lambda dN/dy 27 GeV,THERMUS SCE endpoint-interpolated,
27,Lambda_bar,2.75,0.1403566885,2.845002,,ins1738953/AntiLambda dN/dy 27 GeV,THERMUS SCE endpoint-interpolated,
27,Xi,1.57,0.1104536102,1.506783,,ins1738953/Xi- dN/dy 27 GeV,THERMUS SCE endpoint-interpolated,
27,Xi_bar,0.598,0.03847076812,0.559908,,ins1738953/AntiXi+ dN/dy 27 GeV,THERMUS SCE endpoint-interpolated,
27,phi,3.01,0.4517742799,3.588193,,ins1738953/Phi dN/dy 27 GeV,THERMUS SCE endpoint-interpolated,
39,K+,31.966034999999998,2.90450025,32.899571,,"ins1510593/dN/dy, 39 GeV",THERMUS SCE endpoint-interpolated,derived from dN/dy/(0.5*Npart) using Npart
39,K-,25.012439999999998,2.272369228,26.694407,,"ins1510593/dN/dy, 39 GeV",THERMUS SCE endpoint-interpolated,derived from dN/dy/(0.5*Npart) using Npart
39,Ks0,,,29.027997,,data/thermus_fit_predictions_full/prediction_points/sqrts_39p0GeV_points.csv,THERMUS GC fit,measured yield carried from THERMUS fit-point table
39,Lambda,11.02,0.8605230967,10.593718,,ins1738953/Lambda dN/dy 39 GeV,THERMUS SCE endpoint-interpolated,
