index,title,star_url,journal_raw,journal,year,reference,status,journal_link,journal_link_text,hepdata_link,arxiv_id,arxiv_abs_link,inspire_id,fetch_error
287,"Measurement of the Sixth-Order Cumulant of Net-Proton Multiplicity Distributions in Au+Au Collisions at sqrt{sNN} = 27 , 54.4, and 200 GeV at RHIC",https://drupal.star.bnl.gov/STAR/publications/measurement-sixth-order-cumulant-net-proton-multiplicity-distributions-27-544-and-200-g,PRL 2021,PRL,2021,Phys. Rev. Lett. 127 (2021) 262301,published,https://link.aps.org/doi/10.1103/PhysRevLett.127.262301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1866196,2105.14698,http://arxiv.org/abs/2105.14698,,
285,"Cumulants and correlation functions of net-proton, proton, and antiproton multiplicity distributions in Au+Au collisions at energies available at the BNL Relativistic Heavy Ion Collider",https://drupal.star.bnl.gov/STAR/publications/cumulants-and-correlation-functions-net-proton-proton-and-antiproton-multiplicity-distr,PRC 2021,PRC,2021,Phys. Rev. C 104 (2021) 24902,published,http://link.aps.org/abstract/PRC/V104/P024902,Phys. Rev. C server,https://www.hepdata.net/record/ins1843941,2101.12413,http://arxiv.org/abs/2101.12413,,
284,Nonmonotonic Energy Dependence of Net-Proton Number Fluctuations,https://drupal.star.bnl.gov/STAR/publications/nonmonotonic-energy-dependence-net-proton-number-fluctuations,PRL 2021,PRL,2021,Phys. Rev. Lett. 126 (2021) 92301,published,http://link.aps.org/abstract/PRL/V126/P092301,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins1774673,2001.02852,http://arxiv.org/abs/2001.02852,,
273,Flow and interferometry results from Au+Au collisions at sqrt{sNN} = 4.5 GeV,https://drupal.star.bnl.gov/STAR/publications/flow-and-interferometry-results-auau-collisions-sqrtsnn-45-gev,PRC 2021,PRC,2021,Phys. Rev. C 103 (2021) 34908,published,http://link.aps.org/abstract/PRC/V103/P034908,Phys. Rev. C server,https://www.hepdata.net/record/ins1809043,2007.14005,http://arxiv.org/abs/2007.14005,,
272,Beam energy dependence of net-Lambda fluctuations measured by the STAR experiment at the BNL Relativistic Heavy Ion Collider,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-net-lambda-fluctuations-measured-star-experiment-bnl-relativisti,PRC 2020,PRC,2020,Phys. Rev. C 102 (2020) 24903,published,http://link.aps.org/abstract/PRC/V102/P024903,Phys. Rev. C server,https://www.hepdata.net/record/ins1776194,2001.06419,http://arxiv.org/abs/2001.06419,,
265,Beam-energy dependence of identified two-particle angular correlations in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-identified-two-particle-angular-correlations-auau-collisions-rhi,PRC 2020,PRC,2020,Phys. Rev. C 101 (2020) 14916,published,http://link.aps.org/abstract/PRC/V101/P014916,Phys. Rev. C server,https://www.hepdata.net/record/ins1740846,1906.09204,http://arxiv.org/abs/1906.09204,,
264,Beam energy dependence of (anti-)deuteron production in Au+Au collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-anti-deuteron-production-auau-collisions-rhic,PRC 2019,PRC,2019,Phys. Rev. C 99 (2019) 64905,published,http://link.aps.org/abstract/PRC/V99/P064905,Phys. Rev. C server,https://www.hepdata.net/record/ins1727273,1903.11778,http://arxiv.org/abs/1903.11778,,
263,"Collision energy dependence of second-order off-diagonal and diagonal cumulants of net-charge, net-proton and net-kaon multiplicity distributions in Au+Au collisions",https://drupal.star.bnl.gov/STAR/publications/collision-energy-dependence-second-order-diagonal-and-diagonal-cumulants-net-charge-net,PRC 2019,PRC,2019,Phys. Rev. C 100 (2019) 14902,published,http://link.aps.org/abstract/PRC/V100/P014902,Phys. Rev. C server,https://www.hepdata.net/record/ins1724809,1903.05370,http://arxiv.org/abs/1903.05370,,
261,Bulk Properties of the System Formed in Au+Au Collisions at sqrt(sNN) = 14.5 GeV,https://drupal.star.bnl.gov/STAR/publications/bulk-properties-system-formed-auau-collisions-sqrtsnn-145-gev,PRC 2020,PRC,2020,Phys. Rev. C 101 (2020) 24905,published,http://link.aps.org/abstract/PRC/V101/P024905,Phys. Rev. C server,https://www.hepdata.net/record/ins1748776,1908.03585,http://arxiv.org/abs/1908.03585,,
257,Collision-energy Dependence of pt Correlations in Au + Au collisions at energies available at the BNL Relativistic Heavy Ion Collider,https://drupal.star.bnl.gov/STAR/publications/collision-energy-dependence-pt-correlations-auau-collisions-rhic,PRC 2019,PRC,2019,Phys. Rev. C 99 (2019) 44918,published,http://link.aps.org/abstract/PRC/V99/P044918,Phys. Rev. C server,https://www.hepdata.net/record/ins1712047,1901.00837,http://arxiv.org/abs/1901.00837,,
256,Search for the chiral magnetic wave using anisotropic flow of identified particles at RHIC,https://drupal.star.bnl.gov/STAR/publications/Search-chiral-magnetic-wave-using-anisotropic-flow-identified-particles-RHIC,PRC 2023,PRC,2023,Phys. Rev. C 108 (2023) 14908,published,https://doi.org/10.1103/PhysRevC.108.014908,Phys. Rev. C server,,2210.14027,http://arxiv.org/abs/2210.14027,,
241,Beam Energy Dependence of Rapidity-Even Dipolar Flow in Au+Au Collisions,https://drupal.star.bnl.gov/STAR/publications/beam-energy-dependence-rapidity-even-dipolar-flow-auau-collisions,PLB 2018,PLB,2018,Phys. Lett. B 784 (2018) 26,published,http://dx.doi.org/10.1016/j.physletb.2018.07.013,Phys. Lett. B server,https://www.hepdata.net/record/ins1669807,1804.08647,http://arxiv.org/abs/1804.08647,,
