energy_GeV,n_points,T_MeV,T_err_MeV,muB_MeV,muB_err_MeV,muS_MeV,muS_err_MeV,gammaS,gammaS_err,R_fm,R_err_fm,dVdy_fm3,dVdy_err_fm3,chi2,ndf,chi2_ndf,input_file
7.700000,10,146.387382,2.713097,411.613991,13.913061,98.418067,8.765689,1.000000,0.000000,5.603228,0.332630,736.891300,131.234552,5.782375,6,0.963729,data/thermalfist_inputs/sqrts_7p7GeV.dat
11.500000,10,152.085283,2.749120,303.039372,13.354189,73.126532,8.794506,1.000000,0.000000,5.896513,0.348790,858.765033,152.392964,4.612963,6,0.768827,data/thermalfist_inputs/sqrts_11p5GeV.dat
19.600000,10,158.426200,2.826165,194.652020,11.184752,44.357504,8.406866,1.000000,0.000000,5.992791,0.352015,901.521313,158.865363,8.826102,6,1.471017,data/thermalfist_inputs/sqrts_19p6GeV.dat
27.000000,10,160.763271,2.780568,154.577177,11.036646,39.359785,8.277575,1.000000,0.000000,6.010481,0.336575,909.528363,152.795405,7.627748,6,1.271291,data/thermalfist_inputs/sqrts_27GeV.dat
39.000000,10,161.917626,3.465975,106.544000,12.702850,24.207378,10.099040,1.000000,0.000000,6.073854,0.383196,938.602596,177.647725,4.843013,6,0.807169,data/thermalfist_inputs/sqrts_39GeV.dat
62.400000,8,164.635704,5.501093,72.546753,15.398702,17.196848,10.035999,1.000000,0.000000,6.343180,0.530198,1069.078713,268.078436,11.564934,4,2.891233,data/thermalfist_inputs/sqrts_62p4GeV.dat
200.000000,10,167.666408,3.359239,27.672489,13.902729,6.452895,10.291814,1.000000,0.000000,6.918356,0.411994,1387.066534,247.803016,6.205341,6,1.034223,data/thermalfist_inputs/sqrts_200GeV.dat
