energy_GeV,particle,pi_avg_data_yield,pi_avg_data_err,data_ratio,data_ratio_err,gc_ratio,sce_ratio
3,K+,,,,,0.1455668547,0.0631196276
3,K-,,,,,0.005227308141,0.003422817723
3,p,,,,,3.883728893,3.910073707
3,pbar,,,,,9.561041357e-08,4.813412632e-08
3,Ks0,,,,,0.09323067038,0.0408488819
3,Lambda,,,,,0.1370878364,0.0890200715
3,Lambda_bar,,,,,9.561041357e-08,4.813412632e-08
3,Xi,,,,,0.001516524575,0.0003514753904
3,Xi_bar,,,,,4.780520679e-08,
3,phi,,,,,0.0002762184848,0.0002781189819
3.2,K+,,,,,0.2152716811,0.1520594897
3.2,K-,,,,,0.04792462032,0.04034133901
3.2,p,,,,,1.110061326,0.9543023866
3.2,pbar,,,,,0.0001451553608,0.0001509003944
3.2,Ks0,,,,,0.1378333383,0.1074391296
3.2,Lambda,,,,,0.1954422141,0.1421369688
3.2,Lambda_bar,,,,,0.0001547116469,0.0001277548206
3.2,Xi,,,,,0.009783382694,0.004939040051
3.2,Xi_bar,,,,,4.930349992e-05,1.076538317e-06
3.2,phi,,,,,0.006109742115,0.005326762054
3.5,K+,,,,,0.2197341521,0.1831970937
3.5,K-,,,,,0.0756265939,0.06853200696
3.5,p,,,,,0.7769443508,0.7004477748
3.5,pbar,,,,,0.0008724966332,0.0008583295769
3.5,Ks0,,,,,0.1494438498,0.131923137
3.5,Lambda,,,,,0.1918225171,0.1566569437
3.5,Lambda_bar,,,,,0.0008438013836,0.0007009789399
3.5,Xi,,,,,0.01348577177,0.008716000321
3.5,Xi_bar,,,,,0.0002408497712,4.143264312e-05
3.5,phi,,,,,0.01103938462,0.01005186613
3.9,K+,,,,,0.2189175084,0.1950344663
3.9,K-,,,,,0.08809036839,0.08194269663
3.9,p,,,,,0.674771528,0.6307430598
3.9,pbar,,,,,0.001664984639,0.00154383028
3.9,Ks0,,,,,0.1537368041,0.1413521546
3.9,Lambda,,,,,0.186770542,0.1618375697
3.9,Lambda_bar,,,,,0.001539851941,0.001245556837
3.9,Xi,,,,,0.01480086716,0.01055648678
3.9,Xi_bar,,,,,0.0004200232522,0.0001425372056
3.9,phi,,,,,0.01333177627,0.01245329863
4.5,K+,,,,,0.2187548401,0.1962459737
4.5,K-,,,,,0.08943294264,0.08340535797
4.5,p,,,,,0.6648393503,0.624222802
4.5,pbar,,,,,0.001778265349,0.001636242043
4.5,Ks0,,,,,0.1541770995,0.1423206834
4.5,Lambda,,,,,0.1861280731,0.162358449
4.5,Lambda_bar,,,,,0.001636588029,0.001318521101
4.5,Xi,,,,,0.0149295433,0.01075862007
4.5,Xi_bar,,,,,0.0004442559566,0.000161088116
4.5,phi,,,,,0.01357859693,0.01272024517
5.2,K+,,,,,0.2178928456,0.2014082455
5.2,K-,,,,,0.09530522511,0.0898308755
5.2,p,,,,,0.623424593,0.5975809522
5.2,pbar,,,,,0.00235461156,0.002088214355
5.2,Ks0,,,,,0.1560605451,0.1464547349
5.2,Lambda,,,,,0.1831114064,0.1645593606
5.2,Lambda_bar,,,,,0.002120677717,0.001674222403
5.2,Xi,,,,,0.01546225587,0.01164955915
5.2,Xi_bar,,,,,0.000563705946,0.0002691634752
5.2,phi,,,,,0.01465491727,0.01390386545
7.7,K+,96.74945,8.776366419,0.2149956408,0.02617031719,0.237080229,0.2070929153
7.7,K-,96.74945,8.776366419,0.07951176983,0.009683383584,0.09202026417,0.09727535335
7.7,p,96.74945,8.776366419,0.5680906713,0.08108414,0.6096193447,0.5702341832
7.7,pbar,96.74945,8.776366419,0.004115082825,0.0006510971309,0.002474583253,0.002712939202
7.7,Ks0,96.74945,8.776366419,0.1309568168,0.01278050014,0.1607304441,0.1510202403
7.7,Lambda,96.74945,8.776366419,0.1581404339,0.0167007176,0.1662719168,0.1669492311
7.7,Lambda_bar,96.74945,8.776366419,0.001994843382,0.0002741493165,0.002378635095,0.002163324491
7.7,Xi,96.74945,8.776366419,0.01229981152,0.001622869892,0.01340633211,0.01268754954
7.7,Xi_bar,96.74945,8.776366419,0.0006790736278,0.0001039365546,0.0006555258159,0.0004669369027
7.7,phi,96.74945,8.776366419,0.01250653104,0.002526457508,0.01503707976,0.01529643525
11.5,K+,126.74045,12.76817026,0.1971981321,0.02810764848,0.2361881113,
11.5,K-,126.74045,12.76817026,0.09739826551,0.01382801219,0.1193562631,
11.5,p,126.74045,12.76817026,0.3471647765,0.05447345949,0.3702098812,
11.5,pbar,126.74045,12.76817026,0.01147431621,0.001872968588,0.00756018622,
11.5,Ks0,126.74045,12.76817026,0.1256899435,0.01349717217,0.1734204011,
11.5,Lambda,126.74045,12.76817026,0.1118032956,0.01285057475,0.1240285976,
11.5,Lambda_bar,126.74045,12.76817026,0.00519960281,0.0006457179757,0.006171452319,
11.5,Xi,126.74045,12.76817026,0.01065169013,0.001389128823,0.01234339298,
11.5,Xi_bar,126.74045,12.76817026,0.001333433801,0.0001767581718,0.001461081219,
11.5,phi,126.74045,12.76817026,0.01357104224,0.002485394986,0.01933213487,
19.6,K+,163.592,18.08378977,0.1806818182,0.02700998415,0.2209190704,
19.6,K-,163.592,18.08378977,0.1150826446,0.0171973564,0.1488466086,
19.6,p,163.592,18.08378977,0.2091942149,0.03575704708,0.2271408166,
19.6,pbar,163.592,18.08378977,0.02541322314,0.004339430233,0.02035559018,
19.6,Ks0,163.592,18.08378977,0.1276957308,0.01470601688,0.1801882658,
19.6,Lambda,163.592,18.08378977,0.07689862585,0.008956864157,0.09297667298,
19.6,Lambda_bar,163.592,18.08378977,0.0113575236,0.001394807942,0.01412780243,
19.6,Xi,163.592,18.08378977,0.009902684728,0.001259719128,0.0113669184,
19.6,Xi_bar,163.592,18.08378977,0.002573475476,0.0003398393045,0.002881577252,
19.6,phi,163.592,18.08378977,0.01570981466,0.002766382767,0.02305205942,
27,K+,175.01434,19.32798058,0.1775205963,0.02535892702,0.2188036562,
27,K-,175.01434,19.32798058,0.129266379,0.01850197578,0.1564060223,
27,p,175.01434,19.32798058,0.1813456257,0.02958330558,0.1837293948,
27,pbar,175.01434,19.32798058,0.03432718713,0.005599057361,0.02861990233,
27,Ks0,175.01434,19.32798058,0.1327891189,0.01520912168,0.1828075564,
27,Lambda,175.01434,19.32798058,0.06668025032,0.007922845118,0.07883314644,
27,Lambda_bar,175.01434,19.32798058,0.01571299815,0.001911645647,0.01909980225,
27,Xi,175.01434,19.32798058,0.008970693487,0.001174637666,0.01011572481,
27,Xi_bar,175.01434,19.32798058,0.00341686287,0.0004367024594,0.003758919001,
27,phi,175.01434,19.32798058,0.0171985907,0.003204830708,0.02408918402,
39,K+,184.022535,20.33126487,0.1737071767,0.02484819902,0.2085399695,
39,K-,184.022535,20.33126487,0.1359205273,0.0194418719,0.1692073986,
39,p,184.022535,20.33126487,0.1439977718,0.02247572976,0.1440299383,
39,pbar,184.022535,20.33126487,0.04614241946,0.007544370489,0.03980923998,
39,Ks0,184.022535,20.33126487,0.1353095152,0.01758176294,0.1839992871,
39,Lambda,184.022535,20.33126487,0.05988397019,0.008101842681,0.06715022603,
39,Lambda_bar,184.022535,20.33126487,0.02075832723,0.003014932855,0.02455429158,
39,Xi,184.022535,20.33126487,0.008368540299,0.001387016668,0.009358939489,
39,Xi_bar,184.022535,20.33126487,0.00423861132,0.0007612877975,0.004486729394,
39,phi,184.022535,20.33126487,0.01836731572,0.00330879517,0.02486521669,
62.4,K+,235,17,0.16,0.01630870147,0.2032687074,
62.4,K-,235,17,0.1378723404,0.01397374378,0.1764262845,
62.4,p,235,17,0.1234042553,0.01847076574,0.1229450983,
62.4,pbar,235,17,0.05787234043,0.008358123917,0.05248213957,
62.4,Ks0,235,17,0.1136170213,0.008606535416,0.1849466295,
62.4,Lambda,235,17,0.06628098298,0.01092418856,0.06017924976,
62.4,Lambda_bar,235,17,0.03086042553,0.004956893653,0.03111916723,
62.4,Xi,235,17,0.007403045106,0.00140961703,0.008821341809,
62.4,Xi_bar,235,17,0.004840851064,0.0008611503165,0.005489948338,
62.4,phi,235,17,,,0.02560327251,
130,K+,279,20,0.1659498208,0.01603546624,,
130,K-,279,20,0.153046595,0.01486885243,,
130,p,279,20,0.1010752688,0.01326478893,,
130,pbar,279,20,0.07168458781,0.009411910701,,
130,Xi,279,20,0.007741935484,0.0010057007,,
130,Xi_bar,279,20,0.006487455197,0.0008481519011,,
200,K+,324.5,25,0.1580893683,0.0234429695,0.1956606765,
200,K-,324.5,25,0.1525423729,0.02243130463,0.185276584,
200,p,324.5,25,0.1069337442,0.01586586195,0.09599925998,
200,pbar,324.5,25,0.08228043143,0.01224599703,0.06967312691,
200,Ks0,324.5,25,0.118027735,0.01034383468,0.1855403984,
200,Lambda,324.5,25,0.05146379045,0.005252701726,0.04989397045,
200,Lambda_bar,324.5,25,0.03913713405,0.004142886841,0.03897544172,
200,Xi,324.5,25,0.006687211094,0.0008015244529,0.007756991502,
200,Xi_bar,324.5,25,0.0056394453,0.0007696581145,0.00650558019,
200,phi,324.5,25,0.02372881356,0.003325357418,0.02590941484,
