centrality	cent_low	cent_high	n_events	npart_mean	npart_rms	phi	Kminus	ratio	stat_err
0-10%	0.0	10.0	1027	321.1421616358325	33.1946729751204	28	260	0.1076923076923077	0.021419791425796482
10-40%	10.0	40.0	2970	165.13131313131314	54.51895783666038	39	274	0.14233576642335766	0.024360075391715873
40-60%	40.0	60.0	2007	55.993024414549076	20.428297713094207	7	23	0.30434782608695654	0.1313765622222613
