energy_GeV,T_MeV,muB_MeV,muS_MeV,muQ_MeV,gammaS,R_fm,note
3,81.662316,751.420185,170.384385,-22.904400,1.000000,8.076258,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
3.2,87.015346,722.654510,163.861774,-21.981288,1.000000,7.881466,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
3.5,94.608465,681.851220,154.609635,-20.671880,1.000000,7.605160,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
3.9,103.918043,631.824168,143.266011,-19.066474,1.000000,7.266394,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
4.5,116.136839,566.163793,128.377533,-16.959384,1.000000,6.821764,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
5.2,127.744731,503.786247,114.233436,-14.957642,1.000000,6.399364,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
7.7,145.927461,406.077367,92.077966,-11.822091,1.000000,5.737712,"GC calculation using T, muB, muQ, and R from the SCE endpoint-interpolated effective trace; muS derived from the mean muS/muB ratio of existing THERMUS GC fits"
